id,name,operator,address,latitude,longitude,connector_types,power_kw,charger_count,access,status,source,source_id
mumbai_0001,Tata Power - COCO BKC Charging Station,Tata Power,"C-68, G Block BKC, Bandra Kurla Complex, Bandra East Mumbai",19.0662562,72.8687371,,,2,public/unknown,,ZigWheels,
mumbai_0002,UTPL- EV charging Station,,MHADA Towers Mumbai,19.1330031,72.8675842,,,23,restricted,,ZigWheels,
mumbai_0003,MSEDCL - Raghuleela Charging Station,,"Opposite Vashi Railway Station, Sector 30 A, Vashi, Navi Mumbai",19.0643025,72.9999608,,,1,public/unknown,,ZigWheels,
mumbai_0004,IOCL - Coco Prabhadevi Charging Station,IOCL,"No 17, Veer Savarkar Marg Cadel Road Mumbai",19.0336735,72.8387265,,,1,public/unknown,,ZigWheels,
mumbai_0005,Tata Power - Salsette Receiving Charging Station,Tata Power,"Tata Power Salsette Receiving Station, Lake Road Mumbai",19.1554528,72.933744,,,1,public/unknown,,ZigWheels,
mumbai_0006,Tata Power - Bombay House Charging Station,Tata Power,"Bombay House, 24 Homi Mody Street, Fort Mumbai",18.9316363,72.8327261,,,1,public/unknown,,ZigWheels,
mumbai_0007,Kazam - Sion East Charging Station,,Sion East Mumbai,19.0428153,72.8653563,,,1,public/unknown,,ZigWheels,
mumbai_0008,Tata Power - Belvedere Court Charging Station,Tata Power,"Sane Guruji Marg, RTO Colony, Mahalakshmi Mumbai",18.9867206,72.8317882,,,11,public/unknown,,ZigWheels,
mumbai_0009,Tata Power - Malad Charging Station,Tata Power,Marve Road malad Mumbai,19.1960561,72.8288199,,,2,public/unknown,,ZigWheels,
mumbai_0010,Tata Power - Oberoi Mall Charging Station,Tata Power,"Western Express Hwy, Yashodham Mumbai",19.1694672,72.8588381,,,4,public/unknown,,ZigWheels,
mumbai_0011,Tata Power - Vikhroli Charging Station,Tata Power,"Pirojshanagar, Vikhroli, Mumbai",19.1042363,72.9276717,,,,public/unknown,,ZigWheels,
mumbai_0012,Tata Power - ADANI ELECTRICITY Charging Station,Tata Power,ADANI ELECTRICITY MUMBAI LIMITED,19.1054493,72.8632733,,,6,public/unknown,,ZigWheels,
mumbai_0013,UTPL- EV charging station,,"95, Malad, Vijaykar Wadi, Malad West Mumbai",19.1872566,72.8438873,,,23,public/unknown,,ZigWheels,
mumbai_0014,Statiq - Kotak Mahindra Bank Mumbai AC Charging Station,Statiq,"Plot No. C - 27, Block - 9 Bandra Kurla Complex, Bandra Mumbai",19.0659222,72.8578043,AC,,6,public/unknown,,ZigWheels,
mumbai_0015,Ghatkopar Charging Station,,"Station Road, Ghatkopar West Mumbai",19.0863567,72.9086867,,,1,public/unknown,,ZigWheels,
mumbai_0016,Tata Power - Cr Bhandup Charging Station,Tata Power,Near Kotak Mahindra Atm Mumbai,19.1043253,72.887046,,,2,public/unknown,,ZigWheels,
mumbai_0017,Tata Power - CSMT Station Charging Station,Tata Power,"Chhatrapati Shivaji Maharaj Terminus, Fort Mumbai",18.939856,72.8355191,,,3,public/unknown,,ZigWheels,
mumbai_0018,Tata Power - HINDUSTAN PETROLEUM CORPORATION LTD Charging Station,Tata Power,HINDUSTAN PETROLEUM CORPORATION LTD Mumbai,19.001647,72.8154022,,,1,public/unknown,,ZigWheels,
mumbai_0019,UTPL- EV charging station,,"Ground Floor, Magathane, Borivali, Mumbai, Maharashtra 400066",19.2171116,72.866752,,,23,public/unknown,,ZigWheels,
mumbai_0020,UTPL- EV charging station,,"3WMC C9C, Ghatkopar East, Mumbai, Maharashtra 400075",19.0833438,72.9123246,,,23,public/unknown,,ZigWheels,
mumbai_0021,JIO BP - Prudential Charging Station,Jio-bp,"Central Avenue, Hiranandani Gardens, Powai Mumbai",19.1160721,72.9093263,,,1,public/unknown,,ZigWheels,
mumbai_0022,Tata Power - CABE MLCP Lower Parel Charging Station,Tata Power,"45, Shankar Rao Naram Path, Lower Parel West, Lower Parel Mumbai",19.0022123,72.825056,,,7,public/unknown,,ZigWheels,
mumbai_0023,UTPL- EV charging station,,"36 SV Road, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",19.0596503,72.8319201,,,23,public/unknown,,ZigWheels,
mumbai_0024,Tata Power - (Puneet Motors) Charging Station,Tata Power,"Puneet, Prabadevi , Lloyds Centre Point, Appasaheb Marathe Marg, Dadar West Mumbai",19.0130175,72.8265728,,,5,public/unknown,,ZigWheels,
mumbai_0025,Kazam - Vile Parle Charging Station,,"Society, Shahaji Raje Marg, Vile Parle Mumbai",19.1158206,72.8303225,,,4,public/unknown,,ZigWheels,
mumbai_0026,Tata Power - Malad RS Charging Station,Tata Power,"Malad, New Mahakali Nagar, Malvani, Malad West Mumbai",19.1825026,72.819424,,,2,public/unknown,,ZigWheels,
mumbai_0027,Tata Power - Vikhroli Receiving Charging Station,Tata Power,Vikroli Sub Station Eastern Expressway Vikhroli Mumbai,19.1247293,72.9364698,,,2,public/unknown,,ZigWheels,
mumbai_0028,Kazam - Andheri East Charging Station,,"Makwana Road, Andheri East Mumbai",19.1001236,72.8476928,,,2,public/unknown,,ZigWheels,
mumbai_0029,Kazam - Powai Charging Station,,"Cliff Avenue, Powai Mumbai",19.1147136,72.9106588,,,1,public/unknown,,ZigWheels,
mumbai_0030,UTPL- EV charging station,,"Somaiya Vidyavihar, ONGC Colony, Vidya Vihar East, Vidyavihar Mumbai",19.0744273,72.899933,,,23,public/unknown,,ZigWheels,
mumbai_0031,UTPL- EV charging station,,"Namdev Koli Marg, Sion, Mumbai",19.0351601,72.9477248,,,23,public/unknown,,ZigWheels,
mumbai_0032,HPCL - Bhavan Fort Charging Station,HPCL,"Shoorji Vallabhdas Rd, Ballard Estate, Fort Mumbai",18.9341903,72.8385831,,,,public/unknown,,ZigWheels,
mumbai_0033,VECV - 41 Charging Station,,"Road Number 7, Sai Baba Nagar, Chembur Mumbai",19.0635601,72.8901764,,,1,public/unknown,,ZigWheels,
mumbai_0034,Kazam - Mulund West Charging Station,,"Govardhan Nagar, Mulund West Mumbai",19.18266,72.9471534,,,2,public/unknown,,ZigWheels,
mumbai_0035,Yulu Bikes - Reliance Building Charging Station,,"Reliance Building, Linking Rd, Khar West, Mumbai",19.1903949,72.834907,,,3,public/unknown,,ZigWheels,
mumbai_0036,VOLTTIC - PCS - 04 Charging Station,,Andheri East Mumbai,19.1158835,72.854202,,,1,public/unknown,,ZigWheels,
mumbai_0037,Kazam - Mulund West Charging Station,,"A-24, Ganesh Gawade Road, Mulund West Mumbai",19.170329,72.9492374,,,1,public/unknown,,ZigWheels,
mumbai_0038,Tata Power - Thermal Plant Charging Station,Tata Power,"Corridor Road, Kalachauki, Mahul, Chember East Mumbai",19.0366683,72.8947992,,,18,public/unknown,,ZigWheels,
mumbai_0039,Statiq - Goregaon Hub Charging Station,Statiq,"5/506, Western Express Hwy, Aarey Colony, Goregaon Mumbai",19.1429614,72.8552772,,,4,public/unknown,,ZigWheels,
mumbai_0040,UTPL- Mahalaxmi Charging Station,,"Gandhi Nagar, Lower Parel Mumbai",19.0082224,72.8337786,,,,public/unknown,,ZigWheels,
mumbai_0041,Charge Zone - Juhu Tara Charging Station,Charge Zone,"Juhu Tara Rd, Juhu Mumbai",19.0875686,72.8273041,,,5,public/unknown,,ZigWheels,
mumbai_0042,Yulu Bikes - Bandra West Charging Station,,"BJ Road, Ranwar, Bandra West, Mumbai",19.0530042,72.8289937,,,3,public/unknown,,ZigWheels,
mumbai_0043,Tata Power - INDIAN OIL CORPORATION LIMITED Charging Station,Tata Power,INDIAN OIL CORPORATION LIMITED Mumbai,19.0230978,73.0391345,,,2,public/unknown,,ZigWheels,
mumbai_0044,Tata Power - Sub Station Charging Station,Tata Power,6 Lake Road Sadan Wadi Bhandup West Mumbai,19.1549966,72.9349735,"DC, GBT",,,public/unknown,,ZigWheels,
mumbai_0045,Power Bank Green- Namaskar Auto Charging Station,,"7VFP W82, Kashimira, Mira Road East, Mira Bhayandar Mumbai",19.2789657,72.8900632,,,3,public/unknown,,ZigWheels,
mumbai_0046,Statiq - Li-Lower Parel Hub Charging Station,Statiq,"Lodha Building, Senapati Bapat Marg, Lower Parel Mumbai",19.004574,72.829118,,,4,public/unknown,,ZigWheels,
mumbai_0047,MH | Mumbai | MB#Land Mark Cars Kalina Metro Estate 4.2 DC Open now Directions,,Mumbai,19.054999,72.8692035,DC,,,public/unknown,,Statiq,
mumbai_0048,MH | Andheri | Times Square - Nilkanth Tech Park Andheri - Kurla Rd 0 DC Open now Directions,,Andheri,19.1196976,72.8464205,DC,,,public/unknown,,Statiq,
mumbai_0049,Popular EV Charging Station,,Li-Kanjurmarg hub Mumbai,19.1599775,72.9472413,AC,150.0,,public/unknown,,Statiq,
